,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Coordinates,School District,State Rank
0,7129300520,10/13/2014,221900.0,small,minimal,1180,5650,1.0,,0.0,good,good,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650,"(-122.257, 47.5112)",seattle,11-50
1,6414100192,12/9/2014,538000.0,small,minimal,2570,7242,2.0,0.0,0.0,good,good,2170,400.0,1951,1991.0,98125,47.721000000000004,-122.319,1690,7639,"(-122.319, 47.721000000000004)",seattle,11-50
2,5631500400,2/25/2015,180000.0,small,minimal,770,10000,1.0,0.0,0.0,good,bad,770,0.0,1933,,98028,47.7379,-122.23299999999999,2720,8062,"(-122.23299999999999, 47.7379)",northshore,Top_ten
3,2487200875,12/9/2014,604000.0,small,average,1960,5000,1.0,0.0,0.0,very_good,good,1050,910.0,1965,0.0,98136,47.5208,-122.39299999999999,1360,5000,"(-122.39299999999999, 47.5208)",seattle,11-50
4,1954400510,2/18/2015,510000.0,small,minimal,1680,8080,1.0,0.0,0.0,good,good,1680,0.0,1987,0.0,98074,47.6168,-122.045,1800,7503,"(-122.045, 47.6168)",lake washington,Top_ten
5,7237550310,5/12/2014,1230000.0,small,average,5420,101930,1.0,0.0,0.0,good,very_good,3890,1530.0,2001,0.0,98053,47.6561,-122.005,4760,101930,"(-122.005, 47.6561)",lake washington,Top_ten
6,1321400060,6/27/2014,257500.0,small,minimal,1715,6819,2.0,0.0,0.0,good,good,1715,?,1995,0.0,98003,47.3097,-122.32700000000001,2238,6819,"(-122.32700000000001, 47.3097)",federal way,51-above
7,2008000270,1/15/2015,291850.0,small,minimal,1060,9711,1.0,0.0,,good,good,1060,0.0,1963,0.0,98198,47.4095,-122.315,1650,9711,"(-122.315, 47.4095)",highline,51-above
8,2414600126,4/15/2015,229500.0,small,minimal,1780,7470,1.0,0.0,0.0,good,good,1050,730.0,1960,0.0,98146,47.5123,-122.337,1780,8113,"(-122.337, 47.5123)",highline,51-above
9,3793500160,3/12/2015,323000.0,small,minimal,1890,6560,2.0,0.0,0.0,good,good,1890,0.0,2003,0.0,98038,47.3684,-122.031,2390,7570,"(-122.031, 47.3684)",tahoma,Top_ten
10,1736800520,4/3/2015,662500.0,small,minimal,3560,9796,1.0,,0.0,good,good,1860,1700.0,1965,0.0,98007,47.6007,-122.145,2210,8925,"(-122.145, 47.6007)",bellevue,Top_ten
11,9212900260,5/27/2014,468000.0,small,minimal,1160,6000,1.0,0.0,0.0,very_good,good,860,300.0,1942,0.0,98115,47.69,-122.292,1330,6000,"(-122.292, 47.69)",seattle,11-50
12,114101516,5/28/2014,310000.0,small,minimal,1430,19901,1.5,0.0,0.0,very_good,good,1430,0.0,1927,,98028,47.7558,-122.229,1780,12697,"(-122.229, 47.7558)",northshore,Top_ten
13,6054650070,10/7/2014,400000.0,small,minimal,1370,9680,1.0,0.0,0.0,very_good,good,1370,0.0,1977,0.0,98074,47.6127,-122.045,1370,10208,"(-122.045, 47.6127)",lake washington,Top_ten
14,1175000570,3/12/2015,530000.0,moderate,minimal,1810,4850,1.5,0.0,0.0,good,good,1810,0.0,1900,0.0,98107,47.67,-122.39399999999999,1360,4850,"(-122.39399999999999, 47.67)",seattle,11-50
15,9297300055,1/24/2015,650000.0,small,average,2950,5000,2.0,0.0,3.0,good,good,1980,970.0,1979,0.0,98126,47.5714,-122.375,2140,4000,"(-122.375, 47.5714)",seattle,11-50
16,1875500060,7/31/2014,395000.0,small,minimal,1890,14040,2.0,0.0,0.0,good,good,1890,0.0,1994,0.0,98019,47.7277,-121.962,1890,14018,"(-121.962, 47.7277)",riverview,11-50
17,6865200140,5/29/2014,485000.0,small,minimal,1600,4300,1.5,0.0,0.0,very_good,good,1600,0.0,1916,0.0,98103,47.6648,-122.34299999999999,1610,4300,"(-122.34299999999999, 47.6648)",seattle,11-50
18,16000397,12/5/2014,189000.0,small,minimal,1200,9850,1.0,0.0,0.0,very_good,good,1200,?,1921,0.0,98002,47.3089,-122.21,1060,5095,"(-122.21, 47.3089)",auburn,51-above
19,7983200060,4/24/2015,230000.0,small,minimal,1250,9774,1.0,0.0,0.0,very_good,good,1250,0.0,1969,0.0,98003,47.3343,-122.306,1280,8850,"(-122.306, 47.3343)",federal way,51-above
20,6300500875,5/14/2014,385000.0,small,minimal,1620,4980,1.0,0.0,0.0,very_good,good,860,760.0,1947,0.0,98133,47.7025,-122.34100000000001,1400,4980,"(-122.34100000000001, 47.7025)",seattle,11-50
21,2524049179,8/26/2014,2000000.0,small,minimal,3050,44867,1.0,0.0,4.0,good,good,2330,720.0,1968,0.0,98040,47.5316,-122.23299999999999,4110,20336,"(-122.23299999999999, 47.5316)",mercer island,Top_ten
22,7137970340,7/3/2014,285000.0,moderate,minimal,2270,6300,2.0,0.0,0.0,good,good,2270,0.0,1995,0.0,98092,47.3266,-122.169,2240,7005,"(-122.169, 47.3266)",auburn,51-above
23,8091400200,5/16/2014,252700.0,small,minimal,1070,9643,1.0,,0.0,good,good,1070,0.0,1985,,98030,47.3533,-122.166,1220,8386,"(-122.166, 47.3533)",kent,11-50
24,3814700200,11/20/2014,329000.0,small,minimal,2450,6500,2.0,0.0,0.0,very_good,good,2450,0.0,1985,0.0,98030,47.3739,-122.17200000000001,2200,6865,"(-122.17200000000001, 47.3739)",kent,11-50
25,1202000200,11/3/2014,233000.0,small,minimal,1710,4697,1.5,0.0,0.0,very_good,bad,1710,0.0,1941,0.0,98002,47.3048,-122.21799999999999,1030,4705,"(-122.21799999999999, 47.3048)",auburn,51-above
26,1794500383,6/26/2014,937000.0,small,minimal,2450,2691,2.0,0.0,0.0,good,good,1750,700.0,1915,,98119,47.6386,-122.36,1760,3573,"(-122.36, 47.6386)",seattle,11-50
27,3303700376,12/1/2014,667000.0,small,minimal,1400,1581,1.5,0.0,0.0,very_good,good,1400,0.0,1909,0.0,98112,47.6221,-122.314,1860,3861,"(-122.314, 47.6221)",seattle,11-50
28,5101402488,6/24/2014,438000.0,small,minimal,1520,6380,1.0,0.0,0.0,good,good,790,730.0,1948,,98115,47.695,-122.304,1520,6235,"(-122.304, 47.695)",seattle,11-50
29,1873100390,3/2/2015,719000.0,small,minimal,2570,7173,2.0,0.0,0.0,good,good,2570,0.0,2005,0.0,98052,47.7073,-122.11,2630,6026,"(-122.11, 47.7073)",lake washington,Top_ten
30,8562750320,11/10/2014,580500.0,small,minimal,2320,3980,2.0,0.0,0.0,good,good,2320,0.0,2003,0.0,98027,47.5391,-122.07,2580,3980,"(-122.07, 47.5391)",issaquah,Top_ten
31,2426039314,12/1/2014,280000.0,small,minimal,1190,1265,3.0,0.0,0.0,good,good,1190,0.0,2005,0.0,98133,47.7274,-122.35700000000001,1390,1756,"(-122.35700000000001, 47.7274)",seattle,11-50
32,461000390,6/24/2014,687500.0,small,minimal,2330,5000,1.5,0.0,0.0,very_good,good,1510,820.0,1929,0.0,98117,47.6823,-122.368,1460,5000,"(-122.368, 47.6823)",seattle,11-50
33,7589200193,11/10/2014,535000.0,small,minimal,1090,3000,1.5,0.0,0.0,very_good,good,1090,0.0,1929,0.0,98117,47.6889,-122.375,1570,5080,"(-122.375, 47.6889)",seattle,11-50
34,7955080270,12/3/2014,322500.0,small,minimal,2060,6659,1.0,0.0,0.0,good,good,1280,780.0,1981,0.0,98058,47.4276,-122.15700000000001,2020,8720,"(-122.15700000000001, 47.4276)",kent,11-50
35,9547205180,6/13/2014,696000.0,small,minimal,2300,3060,1.5,0.0,0.0,good,good,1510,790.0,1930,2002.0,98115,47.6827,-122.31,1590,3264,"(-122.31, 47.6827)",seattle,11-50
36,9435300030,5/28/2014,550000.0,small,minimal,1660,34848,1.0,0.0,0.0,bad,bad,930,730.0,1933,0.0,98052,47.6621,-122.132,2160,11467,"(-122.132, 47.6621)",lake washington,Top_ten
37,2768000400,12/30/2014,640000.0,small,minimal,2360,6000,2.0,0.0,0.0,very_good,good,2360,0.0,1904,0.0,98107,47.6702,-122.36200000000001,1730,4700,"(-122.36200000000001, 47.6702)",seattle,11-50
38,7895500070,2/13/2015,240000.0,small,minimal,1220,8075,1.0,0.0,0.0,bad,good,890,330.0,1969,0.0,98001,47.3341,-122.28200000000001,1290,7800,"(-122.28200000000001, 47.3341)",federal way,51-above
39,2078500320,6/20/2014,605000.0,small,minimal,2620,7553,2.0,0.0,0.0,good,good,2620,0.0,1996,0.0,98056,47.5301,-122.18,2620,11884,"(-122.18, 47.5301)",renton,51-above
40,5547700270,7/15/2014,625000.0,small,minimal,2570,5520,2.0,,0.0,good,good,2570,0.0,2000,,98074,47.6145,-122.027,2470,5669,"(-122.027, 47.6145)",lake washington,Top_ten
41,7766200013,8/11/2014,775000.0,small,minimal,4220,24186,1.0,0.0,0.0,good,good,2600,1620.0,1984,0.0,98166,47.445,-122.34700000000001,2410,30617,"(-122.34700000000001, 47.445)",highline,51-above
42,7203220400,7/7/2014,861990.0,moderate,minimal,3595,5639,2.0,0.0,0.0,good,good,3595,?,2014,0.0,98053,47.6848,-122.016,3625,5639,"(-122.016, 47.6848)",lake washington,Top_ten
